event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant,end,duration
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2005,Norrk?ping,both,2023-05-04 00:07:35,P7,2023-05-04 00:07:45,10.0
DataViewDestroyed,DataView_2147023320,AverageIncome-Municipality,AverageIncome,[],,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
DataViewCreated,DataView_2147020524,AverageEducation-Municipality,AverageEducation,"[Municipality, Year]",,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2147023316,,,,,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2147020520,,,,,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
DataViewCreated,DataView_2147020505,AverageEducation-MapFilter-Info,AverageEducation,[Year],,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
DataViewDestroyed,DataView_2147023300,AverageIncome-MapFilter-Info,AverageIncome,[],,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
DataViewCreated,DataView_2147020504,AverageEducation-MapFilter-Info,AverageEducation,[Year],,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
DataViewDestroyed,DataView_2147023299,AverageIncome-MapFilter-Info,AverageIncome,[],,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
DataViewCreated,DataView_2147020503,AverageEducation-MapFilter-Info,AverageEducation,[Year],,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
DataViewDestroyed,DataView_2147023298,AverageIncome-MapFilter-Info,AverageIncome,[],,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
DataViewCreated,DataView_2147020502,AverageEducation-MapFilter-Info,AverageEducation,[Year],,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
ActiveMapFiltersChanged,EducationMapFilters,,,,,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
DataViewDestroyed,DataView_2147020503,AverageEducation-MapFilter-Info,AverageEducation,[],,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
ButtonClicked,EducationButton,,,,,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2147020518,,,,2017,,both,2023-05-04 00:07:45,P7,2023-05-04 00:07:51,6.0
