event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2006,Norrk?ping,female,2023-05-04 00:20:52,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2005,Norrk?ping,female,2023-05-04 00:20:52,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2006,Norrk?ping,female,2023-05-04 00:20:52,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2005,Norrk?ping,female,2023-05-04 00:20:52,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2004,Norrk?ping,female,2023-05-04 00:20:52,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2003,Norrk?ping,female,2023-05-04 00:20:52,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2004,Norrk?ping,female,2023-05-04 00:20:52,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2003,Norrk?ping,female,2023-05-04 00:20:52,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2004,Norrk?ping,female,2023-05-04 00:20:53,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2003,Norrk?ping,female,2023-05-04 00:20:53,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2004,Norrk?ping,female,2023-05-04 00:20:53,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2005,Norrk?ping,female,2023-05-04 00:20:53,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2004,Norrk?ping,female,2023-05-04 00:20:53,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2005,Norrk?ping,female,2023-05-04 00:20:53,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2008,Norrk?ping,male,2023-05-04 00:20:54,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2005,Norrk?ping,male,2023-05-04 00:20:54,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2013,Norrk?ping,male,2023-05-04 00:20:54,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2008,Norrk?ping,male,2023-05-04 00:20:54,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2016,Norrk?ping,male,2023-05-04 00:20:54,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2015,Norrk?ping,male,2023-05-04 00:20:54,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2017,Norrk?ping,male,2023-05-04 00:20:54,P3
